comp,countgames,totalviewers,avgviewers,overallgroup,continent,country,clubcountry,womens,friendly
U21 EURO,4,419000,104750,NA,europe,intl,country,NA,NA
UEFA EL Round of 16,6,418000,69666.6666666667,europeanclub,europe,intl,club,NA,NA
Ascenso MX,1,390000,390000,NA,namerica,mexico,club,NA,NA
Africa Cup of Nations,16,379000,23687.5,NA,africa,intl,country,NA,NA
FIFA World Cup,1,370000,370000,NA,world,intl,country,NA,NA
UEFA CL Playoff,2,336000,168000,europeanclub,europe,intl,club,NA,NA
FA Community Shield,1,324000,324000,europeanclub,europe,england,club,NA,NA
Open Cup,1,300000,300000,mls,namerica,usa,club,NA,NA
US Open Cup,1,300000,300000,mls,namerica,usa,club,NA,NA
MLS Conf Final,1,295000,295000,mls,namerica,usa,club,NA,NA
Euro Qualifying,2,288000,144000,NA,europe,intl,country,NA,NA
League Cup,4,281000,70250,europeanclub,europe,england,club,NA,NA
NA U20 Champ,4,278000,69500,NA,namerica,intl,country,NA,NA
NWSL Semi Final,2,257000,128500,NA,namerica,usa,club,x,NA
"Copa Libertadores final, 1st leg",1,255000,255000,NA,samerica,intl,club,NA,NA
Championship,18,249000,13833.3333333333,europeanclub,europe,england,club,NA,NA
Int’l Friendy (W),1,221000,221000,otherwomens,world,intl,country,x,x
UCL Playoff,8,197000,24625,europeanclub,europe,intl,club,NA,NA
UEFA EL Semi Finals,1,195000,195000,europeanclub,europe,intl,club,NA,NA
CNCAF U17 Champ.,1,186000,186000,NA,namerica,intl,country,NA,NA
Liga MX Femenil Final,1,180000,180000,otherwomens,namerica,mexico,club,x,NA
NCAA Soccer,2,178000,89000,NA,other,other,other,NA,NA
Liga MX Feminil Final,1,178000,178000,NA,namerica,mexico,club,x,NA
UEFA EL Semi,1,174000,174000,europeanclub,europe,intl,club,NA,NA
NWSL Championship,1,166000,166000,otherwomens,namerica,usa,club,x,NA
CONCACAF Nations League Q,2,166000,83000,NA,namerica,intl,country,NA,NA
SuperCopa Argentina,1,149000,149000,NA,samerica,argentina,club,NA,NA
UEFA EL Group Stage,3,147000,49000,europeanclub,europe,intl,club,NA,NA
NA Beach Soccer,6,146000,24333.3333333333,NA,other,other,other,NA,NA
Int’l Friendly (U23),1,140000,140000,NA,world,intl,country,NA,x
US Open Cup Final,1,136000,136000,NA,namerica,usa,club,NA,NA
MLS Homegrown Game,2,134000,67000,mls,namerica,usa,club,NA,NA
Scottish Premiership,2,134000,67000,europeanclub,europe,scotland,club,NA,NA
DFB Pokal,1,122000,122000,europeanclub,europe,germany,club,NA,NA
UEFA U19 Championship,6,115000,19166.6666666667,NA,europe,intl,country,NA,NA
Women’s ICC,1,114000,114000,NA,world,intl,country,x,NA
EFL Championship,13,109000,8384.61538461538,europeanclub,europe,england,club,NA,NA
UEFA U19 EURO,4,103000,25750,NA,europe,intl,country,NA,NA
UEFA U17 Euro,7,99000,14142.8571428571,NA,europe,intl,country,NA,NA
Coupe de la Ligue,2,99000,49500,europeanclub,europe,france,club,NA,NA
Coppa Italia Final,1,98000,98000,europeanclub,europe,italy,club,NA,NA
Audi Cup,4,95000,23750,NA,world,intl,club,NA,x
Florida Cup,3,93000,31000,NA,other,other,other,NA,NA
U21 Euro,1,84000,84000,NA,europe,intl,country,NA,NA
DFL Pokal Final,1,79000,79000,europeanclub,europe,germany,club,NA,NA
UEFA U17 Euro Final,1,79000,79000,NA,europe,intl,country,NA,NA
CAF WCQ,3,69000,23000,NA,africa,africa,africa,NA,NA
UEFA Futsal Euro,1,62000,62000,NA,europe,intl,country,NA,NA
NCAA,2,60000,30000,NA,namerica,other,other,NA,NA
Beach Soccer,2,57000,28500,NA,other,other,other,NA,NA
CONCACAF U15,5,55000,11000,NA,namerica,intl,country,NA,NA
Acenso MX,1,49000,49000,NA,namerica,mexico,club,NA,NA
2. Bundesliga,1,45000,45000,europeanclub,europe,germany,club,NA,NA
NASL,7,43000,6142.85714285714,NA,namerica,usa,club,NA,NA
USL,2,38000,19000,NA,namerica,usa,club,NA,NA
UEFA U19 Championship (W),2,34000,17000,otherwomens,europe,intl,country,x,NA
Campeonato Carioca,1,27000,27000,NA,other,other,other,NA,NA
Turkish Super League,1,25708,25708,europeanclub,europe,turkey,club,NA,NA
Big East Soccer,1,22000,22000,NA,other,other,other,NA,NA
Turkish Super Lig,1,21000,21000,europeanclub,europe,turkey,club,NA,NA
Coupe de France,1,15000,15000,europeanclub,europe,france,club,NA,NA
UEFA U17 Euro Final (W),1,14000,14000,otherwomens,europe,intl,country,x,NA
Segunda Division,1,5000,5000,NA,namerica,mexico,club,NA,NA
