title,link,postdate,fname
"Most-watched soccer games on US TV for April 10-15, 2018",https://worldsoccertalk.com/2018/04/20/watched-soccer-games-us-tv-april-10-15-2018/,"April 20, 2018",watched-soccer-games-us-tv-april-10-15-2018.html
"Most-watched soccer games on US TV for April 3-8, 2018",https://worldsoccertalk.com/2018/04/12/watched-soccer-games-us-tv-april-3-8-2018/,"April 12, 2018",watched-soccer-games-us-tv-april-3-8-2018.html
"Most-watched soccer games on US TV for March 24-April 1, 2018",https://worldsoccertalk.com/2018/04/06/watched-soccer-games-us-tv-march-24-april-1-2018/,"April 6, 2018",watched-soccer-games-us-tv-march-24-april-1-2018.html
"Most-watched soccer games on US TV for March 14-18, 2018",https://worldsoccertalk.com/2018/03/23/watched-soccer-games-us-tv-march-14-18-2018/,"March 23, 2018",watched-soccer-games-us-tv-march-14-18-2018.html
"Most-watched soccer games on US TV for March 5-11, 2018",https://worldsoccertalk.com/2018/03/17/watched-soccer-games-us-tv-march-5-11-2018/,"March 17, 2018",watched-soccer-games-us-tv-march-5-11-2018.html
"Most-watched soccer games on US TV for March 1-4, 2018",https://worldsoccertalk.com/2018/03/08/watched-soccer-games-us-tv-march-1-4-2018/,"March 8, 2018",watched-soccer-games-us-tv-march-1-4-2018.html
"Most-watched soccer games on US TV for February 2-27, 2018",https://worldsoccertalk.com/2018/03/05/watched-soccer-games-us-tv-february-2-27-2018/,"March 5, 2018",watched-soccer-games-us-tv-february-2-27-2018.html
"Most-watched soccer games on US TV for January 11-22, 2018",https://worldsoccertalk.com/2018/01/25/watched-soccer-games-us-tv-january-11-22/,"January 25, 2018",watched-soccer-games-us-tv-january-11-22.html
Most-watched soccer games on US TV for December 26-January 7,https://worldsoccertalk.com/2018/01/12/watched-soccer-games-us-tv-december-26-january-7/,"January 12, 2018",watched-soccer-games-us-tv-december-26-january-7.html
"Most-watched soccer games on US TV for December 7-23, 2017",https://worldsoccertalk.com/2017/12/29/watched-soccer-games-us-tv-december-7-23-2017/,"December 29, 2017",watched-soccer-games-us-tv-december-7-23-2017.html
"Most-watched soccer games on US TV for November 21-December 3, 2017",https://worldsoccertalk.com/2017/12/10/watched-soccer-games-us-tv-november-21-december-3-2017/,"December 10, 2017",watched-soccer-games-us-tv-november-21-december-3-2017.html
"Most-watched soccer games on US TV for November 9-19, 2017",https://worldsoccertalk.com/2017/11/27/watched-soccer-games-us-tv-november-9-19-2017/,"November 27, 2017",watched-soccer-games-us-tv-november-9-19-2017.html
"Most-watched soccer games on US TV for October 31-November 5, 2017",https://worldsoccertalk.com/2017/11/14/watched-soccer-games-us-tv-october-31-november-5-2017/,"November 14, 2017",watched-soccer-games-us-tv-october-31-november-5-2017.html
"Most-watched soccer games on US TV for October 25-31, 2017",https://worldsoccertalk.com/2017/11/04/watched-soccer-games-us-tv-october-25-31-2017/,"November 4, 2017",watched-soccer-games-us-tv-october-25-31-2017.html
"Most-watched soccer games on US TV for October 13-22, 2017",https://worldsoccertalk.com/2017/10/27/watched-soccer-games-us-tv-october-13-22-2017/,"October 27, 2017",watched-soccer-games-us-tv-october-13-22-2017.html
"Most-watched soccer games on US TV for October 5-11, 2017",https://worldsoccertalk.com/2017/10/13/watched-soccer-games-us-tv-october-5-11-2017/,"October 13, 2017",watched-soccer-games-us-tv-october-5-11-2017.html
"Most-watched soccer games on US TV for September 25-October 1, 2017",https://worldsoccertalk.com/2017/10/05/watched-soccer-games-us-tv-september-25-october-1-2017/,"October 5, 2017",watched-soccer-games-us-tv-september-25-october-1-2017.html
"Most-watched soccer games on US TV for September 19-24, 2017",https://worldsoccertalk.com/2017/09/29/watched-soccer-games-us-tv-september-19-24-2017/,"September 29, 2017",watched-soccer-games-us-tv-september-19-24-2017.html
"Most-watched soccer games on US TV for September 11-17, 2017",https://worldsoccertalk.com/2017/09/21/most-watched-soccer-games-on-us-tv-for-september-11-17-2017/,"September 21, 2017",most-watched-soccer-games-on-us-tv-for-september-11-17-2017.html
"Most-watched soccer games on US TV for September 5-10, 2017",https://worldsoccertalk.com/2017/09/15/watched-soccer-games-us-tv-september-5-10-2017/,"September 15, 2017",watched-soccer-games-us-tv-september-5-10-2017.html
"Most-watched soccer games on US TV for August 29-September 4, 2017",https://worldsoccertalk.com/2017/09/09/watched-soccer-games-us-tv-august-29-september-4-2017/,"September 9, 2017",watched-soccer-games-us-tv-august-29-september-4-2017.html
"Most-watched soccer games on US TV for August 21-27, 2017",https://worldsoccertalk.com/2017/09/01/watched-soccer-games-us-tv-august-21-27-2017/,"September 1, 2017",watched-soccer-games-us-tv-august-21-27-2017.html
"Most-watched soccer games on US TV for August 15-20, 2017",https://worldsoccertalk.com/2017/08/24/most-watched-soccer-games-on-us-tv-for-august-15-20-2017/,"August 24, 2017",most-watched-soccer-games-on-us-tv-for-august-15-20-2017.html
"Most-watched soccer games on US TV for August 8-13, 2017",https://worldsoccertalk.com/2017/08/17/watched-soccer-games-us-tv-august-8-13-2017/,"August 17, 2017",watched-soccer-games-us-tv-august-8-13-2017.html
"Most-watched soccer games on US TV for August 1-6, 2017",https://worldsoccertalk.com/2017/08/11/watched-soccer-games-us-tv-august-1-6-2017/,"August 11, 2017",watched-soccer-games-us-tv-august-1-6-2017.html
"Most-watched soccer games on US TV for July 25-30, 2017",https://worldsoccertalk.com/2017/08/04/watched-soccer-games-us-tv-july-25-30-2017/,"August 4, 2017",watched-soccer-games-us-tv-july-25-30-2017.html
"Most-watched soccer games on US TV for July 18-23, 2017",https://worldsoccertalk.com/2017/07/27/watched-soccer-games-us-tv-july-18-23-2017/,"July 27, 2017",watched-soccer-games-us-tv-july-18-23-2017.html
"Most-watched soccer games on US TV for July 12-17, 2017",https://worldsoccertalk.com/2017/07/19/watched-soccer-games-us-tv-july-12-17-2017/,"July 19, 2017",watched-soccer-games-us-tv-july-12-17-2017.html
"Most-watched soccer games on US TV for July 6-9, 2017",https://worldsoccertalk.com/2017/07/14/watched-soccer-games-us-tv-july-6-9-2017/,"July 14, 2017",watched-soccer-games-us-tv-july-6-9-2017.html
